cat,name,zh,lat,lon,role,when,verdict,note,tags
База,Ascott Dadonghai Bay Sanya,三亚雅诗阁山海天服务公寓 / 三亚绿发山海天雅诗阁服务公寓,18.221,109.5207,Отель / база,каждый день,"База отличная: Dadonghai, пляж, бары, DiDi","Адрес: 海韵路66号, 大东海. Координаты приблизительные; в Amap ищите китайское название.","['бар', 'море', 'рядом']"
Транспорт,Sanya Phoenix International Airport,三亚凤凰国际机场,18.3029,109.4123,Аэропорт,5 и 14 июля,"DiDi/такси, не автобус для раннего рейса",Для вылета: 国际出发 / international departures.,['транспорт']
Пляж,Dadonghai Beach,大东海,18.2223,109.5195,Домашний пляж,утро/вечер,"Удобно, но не самый вау пляж",Купаться только в разрешённых зонах и по флагам.,"['жара', 'море', 'рядом']"
Вид,Luhuitou Scenic Area,鹿回头风景区,18.2206,109.499,Закат / вид на город,17:30-20:00,Точно стоит как лёгкий вечер,"Не полдня, а sunset-стоп рядом с Dadonghai.","['жара', 'природа', 'рядом', 'фото']"
Остров,West Island Tourist Center,西岛游客中心,18.2634,109.3733,Причал на West Island,лучше утром,Остров №1 для поездки,Если ветер/ливень - не плыть.,"['жара', 'море', 'транспорт']"
Остров,West Island / Niuwangling,西岛 / 牛王岭,18.2315,109.3808,"Остров, фото, купание",08:30-15:30,Точно стоит,"Рыбацкая деревня + фото + море; меньше конвейера, чем Wuzhizhou.","['море', 'фото']"
Пляж,Yalong Bay Beach,亚龙湾海滩,18.2266,109.6252,Лучший классический пляж,утро или после 16:00,Точно стоит для купания,"Красивее Dadonghai, но днём жарко.","['жара', 'море', 'рядом']"
Природа,Yalong Bay Tropical Paradise Forest Park,亚龙湾热带天堂森林公园,18.2478,109.6423,Виды / лесной парк,08:00-12:30,"Стоит 1 раз, туристично",Доплаты за мосты/аттракционы; не идти в ливень.,"['море', 'природа', 'фото']"
Фото,Sun Bay Road viewpoint,太阳湾路观景点,18.2073,109.6422,Coastal road / фото,утро/закат,Красиво как фотостоп,Лучше совмещать с Yalong Bay.,"['жара', 'море', 'фото']"
Природа,Yanoda Rainforest,呀诺达热带雨林文化旅游区,18.4015,109.6738,Джунгли,утром,Возможно стоит,"Хорошо в лёгкий дождь, плохо в ливень/духоту.","['дождь', 'жара', 'природа']"
Поезд,Sanya Railway Station,三亚站,18.3093,109.4917,Поезд на Wanning/Lingshui,дальние выезды,Нужен для Wanning,"Билеты в Trip.com/12306, паспорт обязателен.",['транспорт']
Wanning,Riyue Bay,日月湾,18.6298,110.2156,Серф-вайб,день Wanning,"Точно стоит, если погода норм","Серф-проба, кафе, волны; осторожно с рипами.",['море']
Wanning,Shimei Bay,石梅湾,18.66865,110.28058,Спокойная красивая бухта,день Wanning,Стоит как часть выезда,"Не шопинг, а побережье/кафе/вид.","['море', 'природа', 'фото', 'шопинг']"
Wanning,Shenzhou Peninsula,神州半岛,18.684,110.328,Пляж/маяк/вид,день Wanning,Возможно стоит,Смотреть по времени и погоде.,"['море', 'природа', 'фото']"
Море,Houhai Village,后海村 / 藤海渔村,18.3016,109.7527,Surf village / бары,после 15:00,"Молодой вайб, не главный swim-day","Шумно вечером, хорошо для серфа/кафе/баров.","['бар', 'жара', 'море']"
Остров,Wuzhizhou Island Tourist Center,蜈支洲岛游客中心,18.3031,109.7535,Причал Wuzhizhou,только ясное море,Возможно стоит,"Красиво, но коммерчески и дорого.",['море']
Остров,Wuzhizhou Island,蜈支洲岛,18.3135,109.77,Остров/водные активности,утром,Не в плохую погоду,"Толпы, очереди, доплаты.","['жара', 'море']"
Шопинг,CDF Sanya International Duty Free City,三亚国际免税城,18.3297,109.7358,Duty free,дождь/жара/шопинг,"Стоит, если есть список покупок",Адрес: 海棠北路118号. Паспорт + данные вылета.,"['дождь', 'жара', 'шопинг']"
Indoor,Atlantis Sanya Lost Chambers Aquarium,三亚亚特兰蒂斯失落的空间水族馆,18.3378,109.7328,Океанариум,дождь/жара,Стоит как вау-indoor,"30 экспозиций, большой аквариум; лучше совмещать с CDF.","['дождь', 'жара', 'шопинг']"
Бар,The Sanya EDITION Sky Bar,三亚艾迪逊酒店 Sky Bar,18.3347,109.7355,Красивый бар,вечер Haitang,Один вау-вечер,"Дороже, adults-only вайб.","['бар', 'жара']"
Культура,Nanshan Cultural Tourism Zone,南山文化旅游区,18.2948,109.2119,Культура/архитектура,утро,Возможно стоит,"Не религиозно, а масштаб/вид/архитектура.","['жара', 'природа', 'фото']"
Закат,Sanya Bay Coconut Dream Corridor,三亚湾椰梦长廊,18.274,109.452,Закат/прогулка,17:30-19:30,Только вечер,Не главный пляж для купания.,"['еда', 'жара', 'море', 'фото']"
Шопинг,Sanya Joy City,三亚大悦城,18.28389,109.51484,Современный ТЦ,дождь/жара,Лучше Ананаса для indoor-day,Адрес: 迎宾路233号.,"['дождь', 'жара', 'шопинг']"
Шопинг,Summer Mall,夏日百货,18.22522,109.51904,ТЦ рядом,если рядом/дождь,"Удобно, не вау","Tax refund mall, не offshore duty free.","['дождь', 'жара', 'рядом', 'шопинг']"
Шопинг,Pineapple Shopping Center,大菠萝 / 三亚1号港湾城,18.22376,109.5249,ТЦ рядом / landmark,если рядом,Не делать главным,Отзывы смешанные; зайти по пути.,"['дождь', 'рядом', 'шопинг']"
Еда,First Market / Xinmin Street,第一市场 / 新民街,18.2513,109.5087,Seafood + фрукты,вечер/обед,"Колоритно, но туристично",Цена за 斤 и обработку до заказа.,"['еда', 'жара']"
Еда,MS.LIN'S Seafood / Linjie,林姐香味海鲜,18.251,109.5085,Seafood processing,обед/ужин,Кандидат seafood,No.139 Xinmin Street; фиксировать итоговую цену.,['еда']
Еда,Dolphin Sports Bar & Grill,Dolphin海豚美式西餐厅,18.224,109.518,Пиво/бар/fallback,вечер,"Надёжно, не локально","Yuya Road 99; бургеры, wings, пиво, спорт-бар.","['бар', 'еда', 'жара', 'рядом', 'фото']"
Бар,FreeGen Beach Bar,FreeGen Beach Bar,18.2217,109.5206,Пляжный бар,закат/вечер,Первый вечер / sunset,"Dadonghai beachfront; коктейли, простой ужин.","['бар', 'жара', 'море', 'рядом', 'фото']"
Еда,Yanjiang Hainan Cuisine,沿江海南菜,18.224,109.5245,Хайнаньская кухня,обед/ужин,Хороший ввод в локальные блюда,Ищите актуальную точку в Amap/Dianping: 沿江海南菜.,['еда']
Еда,Coconut Chicken candidate,椰小鸡 / 嗲嗲的椰子鸡,18.2242,109.5242,Кокосовая курица,первый ужин,Обязательно попробовать,Ищите ближайшую точку в Amap/Dianping по названию.,['еда']
Чай,Tenfu Tea / tea shops,天福茗茶 / 茶叶 / 茶馆,18.2252,109.519,Чай/покупки,дождь/устали,Лучше небольшие дегустации,Пуэр/улун/белый чай; не покупать дорогой aged puer вслепую.,"['дождь', 'рядом', 'чай']"
Еда,Tai Qiong Zao-po Vinegar Hotpot (Mingzhu),太琼糟粕醋·海南酸汤火锅（明珠广场店）,18.2576,109.5098,Кислый seafood hotpot,ужин / дождь / после города,Стоит как яркий локальный вкус,"地址: 解放三路668号明珠广场7楼7-1号。Брать: 糟粕醋酸汤锅, seafood platter, shrimp, beef, seaweed.",дождь еда
Еда,Qiongxiangge Hainan Cuisine,琼乡阁海南菜,18.2768,109.4973,Хайнаньская кухня backup,"обед/ужин, если хочется локального без рынка",Стоит проверить по Amap/Dianping,"Брать: 文昌鸡, 菠萝蜜烤文昌鸡, 海南粉, 椰子饭, mango/coconut rolls. Координаты приблизительные: ищите ближайший branch.",еда резерв
Еда,A Lang Seafood / A Lang processing,阿浪海鲜 / 阿浪海鲜连锁加工,18.2514,109.5089,Seafood backup у First Market,seafood-вечер,Резерв к MS.LIN,"Брать: 蒜蓉扇贝, 白灼虾, 清蒸石斑鱼, 香辣蟹. Сначала цена за 斤 + processing fee.",еда жара резерв шопинг
Еда,Zheng Apo Qingbuliang,郑阿婆清补凉（第一市场店）,18.2518,109.5089,Холодный кокосовый десерт,жара / после рынка,Стоит как десерт,"地址: 解放路98/100号. Брать: 传统椰奶清补凉, 芒果冰球清补凉, 椰奶冰球清补凉.",еда жара
Еда,Aju Cold Drink,阿菊冷饮店（第一市场店）,18.2509,109.5077,Mango ice / qingbuliang,десерт после First Market,"Стоит, если нет очереди","地址: 红旗街一巷19号. Брать: 芒果炒冰, 榴莲炒冰, 清补凉. Популярно;炒冰 может ждать долго.",еда жара шопинг
Еда,Gongman Xiting Dadonghai,宫满西廷（大东海店）,18.2241,109.5182,Фотогеничный fusion-ужин рядом,вечер рядом с отелем,"Резерв, если хочется красиво и недалеко","地址: 榆亚路99-8号, рядом с Dolphin. Брать: 秘制生拌蓬蒿菜, 牛仔粒, 宫廷一品红烧肉, 蟹粉豆腐, 酸汤肥牛.",бар еда жара резерв рядом фото
Еда,Baoluo Fen / Hainan noodles search,抱罗粉 / 海南粉,18.2508,109.5082,Локальная лапша,завтрак/обед без ресторана,Искать ближайшую точку,"Брать: 抱罗粉, 海南粉, 后安粉. Ориентир 15-35 CNY. Используйте Amap/Dianping search.",еда
Indoor,Atlantis Aquaventure Waterpark,三亚亚特兰蒂斯水世界,18.3382,109.7334,Аквапарк full-day,"жара/дождь, если хочется аттракционов","Альтернатива, не must","Обычно 10:00-20:00, но сверить в день. Нужен купальник, SPF, водозащита.",дождь жара шопинг
Бар,Mandarin Oriental Sunset Bar,三亚文华东方酒店 Sunset Bar / 日落吧,18.2057,109.5068,Романтичный закат и коктейли,спокойный красивый вечер,"Комфорт/вау, не каждый день","地址: 榆海路12号. Брать: tropical/classic cocktails, afternoon tea, light bites. Ради вида, не ради дешёвого алкоголя.",бар жара напитки природа фото чай
Бар,Casa Corona Sanya,Casa Corona / 卡萨科罗娜酒吧,18.2212,109.5166,Beach club / pool bar Dadonghai,вечер с музыкой/party vibe,"Резерв, если хочется движ","The Shanhaitian Resort Sanya, Autograph Collection, 海韵路77号. Брать: Corona, margarita, tacos/snacks; может быть шумно.",бар жара море напитки резерв рядом
Бар,Tikki Lounge & Bar Atlantis,Tikki Lounge & Bar / 三亚亚特兰蒂斯 Tikki酒吧,18.3378,109.7329,Live music / brewpub / Atlantis,после Atlantis/CDF,Резерв к EDITION,"Брать: craft beer, signature cocktails, Asian tapas. Сверить часы на месте.",бар дождь жара напитки резерв шопинг
Остров,Boundary Island Tourist Center,分界洲岛游客中心,18.5789,110.1905,Второй островный день,только при идеальной погоде,"Не основной, далеко","Красиво, но логистика сложнее. Не ставить перед вылетом; уточнить про animal shows.",море
Природа,Nanwan Monkey Island,南湾猴岛,18.3944,109.9752,Обезьяний остров / канатка,только если очень хочется,Скорее не рекомендую,"Этика животных, шоу, отзывы спорные. Включено как “известное, но осознанно не выбрали”.",море природа резерв
Природа,Hainan Tropical Wildlife Park,海南热带野生动植物园,19.8979,110.2526,Зоопарк у Хайкоу,не для этой поездки,Скорее не стоит из Саньи,Слишком далеко от Dadonghai; день лучше потратить на Wanning/Yanoda/West Island.,море природа резерв рядом транспорт
Фото,Pink Beach / Hyatt Tianli Bay candidate,粉色沙滩 / 三亚天丽湾凯悦酒店附近,18.2882,109.3739,"Фотозона, не природное чудо",только если по пути,Не ехать специально,"Вероятнее hotel/photo setup. Для вау-фото лучше West Island, Luhuitou, Sun Bay, Sanya Bay sunset.",бар море напитки природа резерв фото
Транспорт,Yalong Bay Railway Station,亚龙湾站,18.3069,109.6238,Ж/д станция,"редко, если удобнее для Yalong/Wanning",Резерв,"Иногда удобна, но из Dadonghai часто проще DiDi до Sanya Station.",море резерв рядом транспорт
Транспорт,Shenzhou Railway Station,神州站,18.6908,110.3368,Ж/д для Shenzhou/Wanning,Wanning day,Полезно для day trip,Сверять поезд в Trip.com/12306. После станции нужен DiDi до пляжа.,море транспорт
Транспорт,Wanning Railway Station,万宁站,18.7959,110.3895,Ж/д для Wanning,Wanning day,Полезно для day trip,"Больше транспорта, чем на маленьких станциях; дальше DiDi.",транспорт
Транспорт,Lingshui Railway Station,陵水站,18.5057,110.0378,Ж/д для Boundary/Monkey,только если едете в Lingshui,Резерв,Для Boundary/Monkey нужен ещё такси/трансфер.,море природа резерв транспорт
